Comment,Designator,Footprint,LCSC,Quantity
1 uF,"C1,C2",C_0402_1005Metric,C52923,2
100R,R13,R_0402_1005Metric,C25076,1
100k,R60,R_0402_1005Metric,C25741,1
10k,R1,R_0402_1005Metric,C25744,1
10uF,"C11,C15",C_0603_1608Metric,C19702,2
120,R50,R_1206_3216Metric,C17909,1
1uF,"C13,C19",C_0402_1005Metric,C52923,2
200k,R40,R_0402_1005Metric,C25764,1
4.7uF,"C10,C36,C39",C_0402_1005Metric,C23733,3
AD7175-8BCPZ-RL7,IC6,QFN50P600X600X80-41N-D,C578395,1
5V TP,TP7,TestPoint_Pad_1.0x1.0mm,,1
5V_usb,TP12,TestPoint_Pad_1.0x1.0mm,,1
LT3973EMSE-5#PBF,IC11,SOP50P490X110-11N,,1
0.47uF,C38,C_0402_1005Metric,,1
0.1uF,C40,C_0402_1005Metric,,1
0.1uF,C21,C_0402_1005Metric,,1
749013011,T1,749013011,,1
AD8591ARTZ-REEL7,IC8,SOT95P280X145-6N,,1
0.1uF,C20,C_0402_1005Metric,,1
120R (0.1%),R38,R_0402_1005Metric,,1
0.1uF,C16,C_0402_1005Metric,,1
5V_buck,TP11,TestPoint_Pad_1.0x1.0mm,,1
120R (0.1%),R24,R_0402_1005Metric,,1
0.1uF,C26,C_0402_1005Metric,,1
INA827AIDGK,IC5,SOP65P490X110-8N,,1
MOSI_ESP,TP2,TestPoint_Pad_1.0x1.0mm,,1
0.1uF,C18,C_0402_1005Metric,,1
MISO_ESP,TP1,TestPoint_Pad_1.0x1.0mm,,1
0.1uF,C27,C_0402_1005Metric,,1
0.1uF,C23,C_0402_1005Metric,,1
215k,R9,R_0402_1005Metric,,1
0.1uF,C14,C_0402_1005Metric,,1
0.1uF,C8,C_0402_1005Metric,,1
120R (0.1%),R22,R_0402_1005Metric,,1
22uF,C61,C_0603_1608Metric,,1
80 (0.1%),R25,R_0402_1005Metric,,1
Battery_Cell,BT1,BatteryHolder_LINX_BAT-HLD-012-SMT,,1
120R (0.1%),R21,R_0402_1005Metric,,1
80 (0.1%),R12,R_0402_1005Metric,,1
0.1uF,C17,C_0402_1005Metric,,1
TPS2115APWR,U4,SOP65P640X120-8N,,1
0.1uF,C22,C_0402_1005Metric,,1
FFC Digital,J3,TE_2-84952-0_1x20-1MP_P1.0mm_Horizontal,,1
20R,R33,R_0402_1005Metric,,1
FFC Analog,J2,TE_2-84952-4_1x24-1MP_P1.0mm_Horizontal,,1
15uH,L1,NRS4012T150MDGJ,,1
SCLK_ESP,TP3,TestPoint_Pad_1.0x1.0mm,,1
400R,R47,R_0402_1005Metric,,1
3V3_teensy TP,TP10,TestPoint_Pad_1.0x1.0mm,,1
0.1uF,C9,C_0402_1005Metric,,1
INA827AIDGK,IC7,SOP65P490X110-8N,,1
XIAO-ESP32-S3,U5,XIAO-ESP32S3-SMD,,1
FFC Main to Peripheral,J4,FH4115S05SH05,,1
LSF0108PWR,IC9,SOP65P640X120-20N,,1
Teensy4.1,U1,Teensy41,,1
1.6k,R49,R_0402_1005Metric,,1
DNP,R17,R_0402_1005Metric,,1
1.6k,R65,R_0402_1005Metric,,1
52.3R,R27,R_0402_1005Metric,,1
1.69k,R3,R_0402_1005Metric,,1
MAX6105EUR+T,IC1,SOT-23-3,,1
DNP,R4,R_0402_1005Metric,,1
0.1uF,C3,C_0402_1005Metric,,1
MCP2562FD-E/SN,U3,SOIC-8_3.9x4.9mm_P1.27mm,,1
D_Schottky,D1,DO-214BA_MCH,,1
0.1uF,C45,C_0402_1005Metric,,1
DNP,R18,R_0402_1005Metric,,1
0.1uF,C29,C_0402_1005Metric,,1
DNP,R29,R_0402_1005Metric,,1
0.1uF,C12,C_0402_1005Metric,,1
LP5907MFX-2.5_NOPB,IC2,SOT-23-5,,1
1.6k,R44,R_0402_1005Metric,,1
52.3R,R28,R_0402_1005Metric,,1
0.1uF,C43,C_0402_1005Metric,,1
0.1uF,C42,C_0402_1005Metric,,1
DNP,R19,R_0402_1005Metric,,1
MISO1,TP4,TestPoint_Pad_1.0x1.0mm,,1
0.1uF,C35,C_0402_1005Metric,,1
DNP,R26,R_0402_1005Metric,,1
1.6k,R41,R_0402_1005Metric,,1
MOSI1,TP5,TestPoint_Pad_1.0x1.0mm,,1
DNP,R30,R_0402_1005Metric,,1
39pF,C51,C_0402_1005Metric,,1
39pF,C52,C_0402_1005Metric,,1
680R,R5,R_0402_1005Metric,,1
RCLAMP3354S.TCT,D2,SOT-23-5,,1
5V_ref,TP13,TestPoint_Pad_1.0x1.0mm,,1
0.1uF,C44,C_0402_1005Metric,,1
DNP,R16,R_0402_1005Metric,,1
AD5689RARUZ-RL7,U2,RU_16_ADI,,1
1.6k,R48,R_0402_1005Metric,,1
0.1uF,C46,C_0402_1005Metric,,1
1.07k,R7,R_0402_1005Metric,,1
1.6k,R43,R_0402_1005Metric,,1
120R (0.1%),R39,R_0402_1005Metric,,1
1.6k,R64,R_0402_1005Metric,,1
0.1uF,C34,C_0402_1005Metric,,1
SCLK1,TP6,TestPoint_Pad_1.0x1.0mm,,1
0.1uF,C32,C_0402_1005Metric,,1
2V5 TP,TP9,TestPoint_Pad_1.0x1.0mm,,1
47,R14,R_0402_1005Metric,,1
1.07k,R6,R_0402_1005Metric,,1
47,R2,R_0402_1005Metric,,1
1.69k,R8,R_0402_1005Metric,,1
1.6k,R46,R_0402_1005Metric,,1
0.1uF,C33,C_0402_1005Metric,,1
0.1uF,C41,C_0402_1005Metric,,1
0.1uF,C37,C_0402_1005Metric,,1
1.6k,R63,R_0402_1005Metric,,1
120R (0.1%),R20,R_0402_1005Metric,,1
0.1uF,C24,C_0402_1005Metric,,1
0.1uF,C28,C_0402_1005Metric,,1
0.1uF,C31,C_0402_1005Metric,,1
0.1uF,C4,C_0402_1005Metric,,1
DNP,R15,R_0402_1005Metric,,1
1.6k,R42,R_0402_1005Metric,,1
DNP,R34,R_0402_1005Metric,,1
DNP,R31,R_0402_1005Metric,,1
0.1uF,C30,C_0402_1005Metric,,1
DNP,R32,R_0402_1005Metric,,1
RX_ESP,TP16,TestPoint_Pad_1.0x1.0mm,,1
TX_ESP,TP15,TestPoint_Pad_1.0x1.0mm,,1
SDA_ESP,TP17,TestPoint_Pad_1.0x1.0mm,,1
SCL_ESP,TP18,TestPoint_Pad_1.0x1.0mm,,1
