Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BT1,Battery_Cell,BatteryHolder_LINX_BAT-HLD-012-SMT,102.5,-64.6,180.0,top
C1,1 uF,C_0402_1005Metric,71.9,-38.498898,180.0,bottom
C10,4.7uF,C_0402_1005Metric,58.865,-34.73,0.0,top
C11,10uF,C_0603_1608Metric,101.2,-38.275,270.0,bottom
C12,0.1uF,C_0402_1005Metric,99.6,-38.6,270.0,bottom
C13,1uF,C_0402_1005Metric,131.75,-73.23,-90.0,top
C14,0.1uF,C_0402_1005Metric,119.8,-71.3,90.0,top
C15,10uF,C_0603_1608Metric,131.45,-69.87,90.0,top
C16,0.1uF,C_0402_1005Metric,129.6,-69.92,90.0,top
C17,0.1uF,C_0402_1005Metric,127.9,-78.25,180.0,top
C18,0.1uF,C_0402_1005Metric,130.0,-73.15,-90.0,top
C19,1uF,C_0402_1005Metric,117.8,-71.3,90.0,top
C2,1 uF,C_0402_1005Metric,72.02,-45.0,180.0,bottom
C20,0.1uF,C_0402_1005Metric,122.02,-68.75,180.0,top
C21,0.1uF,C_0402_1005Metric,128.6,-48.4,-90.0,top
C22,0.1uF,C_0402_1005Metric,134.0,-62.0,90.0,top
C23,0.1uF,C_0402_1005Metric,134.275,-57.5,90.0,top
C24,0.1uF,C_0402_1005Metric,89.15,-39.78,270.0,bottom
C26,0.1uF,C_0402_1005Metric,87.6,-66.42,-90.0,top
C27,0.1uF,C_0402_1005Metric,135.174,-48.2,90.0,top
C28,0.1uF,C_0402_1005Metric,97.7,-72.5,90.0,bottom
C29,0.1uF,C_0402_1005Metric,112.5,-19.998685,90.0,bottom
C3,0.1uF,C_0402_1005Metric,120.06,-52.7616,0.0,bottom
C30,0.1uF,C_0402_1005Metric,111.0,-19.978685,90.0,bottom
C31,0.1uF,C_0402_1005Metric,112.5,-24.978685,270.0,bottom
C32,0.1uF,C_0402_1005Metric,111.0,-24.998685,270.0,bottom
C33,0.1uF,C_0402_1005Metric,99.8,-72.51,90.0,bottom
C34,0.1uF,C_0402_1005Metric,101.8,-72.42,90.0,bottom
C35,0.1uF,C_0402_1005Metric,103.8,-72.42,90.0,bottom
C36,4.7uF,C_0402_1005Metric,58.865,-33.23,0.0,top
C37,0.1uF,C_0402_1005Metric,105.8,-72.39,90.0,bottom
C38,0.47uF,C_0402_1005Metric,65.085,-23.46,-90.0,top
C39,4.7uF,C_0402_1005Metric,56.525,-24.17,-90.0,top
C4,0.1uF,C_0402_1005Metric,120.845,-60.1266,270.0,bottom
C40,0.1uF,C_0402_1005Metric,87.6,-60.4,-90.0,top
C41,0.1uF,C_0402_1005Metric,53.2,-75.55,90.0,bottom
C42,0.1uF,C_0402_1005Metric,104.8,-82.74,270.0,bottom
C43,0.1uF,C_0402_1005Metric,102.7,-82.7,270.0,bottom
C44,0.1uF,C_0402_1005Metric,100.8,-82.66,270.0,bottom
C45,0.1uF,C_0402_1005Metric,98.8,-82.63,270.0,bottom
C46,0.1uF,C_0402_1005Metric,96.8,-82.64,270.0,bottom
C51,39pF,C_0402_1005Metric,118.39,-62.6266,180.0,bottom
C52,39pF,C_0402_1005Metric,115.89,-62.6266,0.0,bottom
C61,22uF,C_0603_1608Metric,64.7,-26.7,0.0,top
C8,0.1uF,C_0402_1005Metric,58.845,-36.23,0.0,top
C9,0.1uF,C_0402_1005Metric,56.325,-36.23,0.0,top
D1,D_Schottky,DO-214BA_MCH,89.693,-82.2,180.0,bottom
D2,RCLAMP3354S.TCT,SOT-23-5,88.9625,-23.0,0.0,bottom
IC1,MAX6105EUR+T,SOT-23-3,56.0,-76.5,270.0,bottom
IC11,LT3973EMSE-5#PBF,SOP50P490X110-11N,60.365,-23.591,0.0,top
IC2,LP5907MFX-2.5_NOPB,SOT-23-5,72.45,-41.6375,270.0,bottom
IC5,INA827AIDGK,SOP65P490X110-8N,130.05,-63.675,0.0,top
IC6,AD7175-8BCPZ-RL7,QFN50P600X600X80-41N-D,124.8,-73.6,180.0,top
IC7,INA827AIDGK,SOP65P490X110-8N,130.075,-59.0,0.0,top
IC8,AD8591ARTZ-REEL7,SOT95P280X145-6N,131.874,-48.65,0.0,top
IC9,LSF0108PWR,SOP65P640X120-20N,83.1,-63.4,-90.0,top
J2,FFC Analog,TE_2-84952-4_1x24-1MP_P1.0mm_Horizontal,104.29,-79.2,0.0,top
J3,FFC Digital,TE_2-84952-0_1x20-1MP_P1.0mm_Horizontal,72.59,-79.2,0.0,top
J4,FFC Main to Peripheral,FH4115S05SH05,80.0,-26.4,180.0,top
L1,15uH,NRS4012T150MDGJ,59.5,-29.1,-90.0,top
R1,10k,R_0402_1005Metric,123.5,-65.75,0.0,top
R12,80 (0.1%),R_0402_1005Metric,130.24,-66.75,180.0,top
R13,100R,R_0402_1005Metric,126.01,-80.25,180.0,bottom
R14,47,R_0402_1005Metric,72.73,-53.8616,90.0,bottom
R15,DNP,R_0402_1005Metric,94.3,-53.89,270.0,bottom
R16,DNP,R_0402_1005Metric,107.0,-56.91,90.0,bottom
R17,DNP,R_0402_1005Metric,107.0,-53.97,90.0,bottom
R18,DNP,R_0402_1005Metric,104.3,-53.91,90.0,bottom
R19,DNP,R_0402_1005Metric,104.3,-56.91,90.0,bottom
R2,47,R_0402_1005Metric,70.13,-53.8716,90.0,bottom
R20,120R (0.1%),R_0402_1005Metric,125.25,-64.5,90.0,bottom
R21,120R (0.1%),R_0402_1005Metric,122.425,-51.125,90.0,top
R22,120R (0.1%),R_0402_1005Metric,133.75,-70.25,-90.0,top
R24,120R (0.1%),R_0402_1005Metric,125.3,-51.1,-90.0,top
R25,80 (0.1%),R_0402_1005Metric,130.0,-56.0,0.0,top
R26,DNP,R_0402_1005Metric,101.75,-53.95,90.0,bottom
R27,52.3R,R_0402_1005Metric,93.515,-23.95,180.0,bottom
R28,52.3R,R_0402_1005Metric,93.515,-21.96,180.0,bottom
R29,DNP,R_0402_1005Metric,101.8,-56.91,90.0,bottom
R3,1.69k,R_0402_1005Metric,85.1,-64.4,0.0,bottom
R30,DNP,R_0402_1005Metric,99.3,-53.91,90.0,bottom
R31,DNP,R_0402_1005Metric,99.3,-56.81,90.0,bottom
R32,DNP,R_0402_1005Metric,96.8,-53.91,90.0,bottom
R33,20R,R_0402_1005Metric,131.914,-51.75,180.0,top
R34,DNP,R_0402_1005Metric,96.75,-56.8,90.0,bottom
R38,120R (0.1%),R_0402_1005Metric,127.25,-83.5,90.0,top
R39,120R (0.1%),R_0402_1005Metric,113.1,-83.0,0.0,bottom
R4,DNP,R_0402_1005Metric,94.3,-56.8,90.0,bottom
R40,200k,R_0402_1005Metric,87.6,-63.91,270.0,bottom
R41,1.6k,R_0402_1005Metric,97.7,-75.0,270.0,bottom
R42,1.6k,R_0402_1005Metric,99.8,-74.99,270.0,bottom
R43,1.6k,R_0402_1005Metric,101.8,-74.99,270.0,bottom
R44,1.6k,R_0402_1005Metric,103.8,-75.0,270.0,bottom
R46,1.6k,R_0402_1005Metric,105.8,-74.99,270.0,bottom
R47,400R,R_0402_1005Metric,58.15,-46.86,180.0,top
R48,1.6k,R_0402_1005Metric,104.8,-79.99,90.0,bottom
R49,1.6k,R_0402_1005Metric,102.7,-79.93,90.0,bottom
R5,680R,R_0402_1005Metric,126.0,-78.25,0.0,bottom
R50,120,R_1206_3216Metric,117.095,-57.6866,0.0,top
R6,1.07k,R_0402_1005Metric,82.61,-62.4,180.0,bottom
R60,100k,R_0402_1005Metric,55.5,-46.5,90.0,top
R63,1.6k,R_0402_1005Metric,100.8,-79.9,90.0,bottom
R64,1.6k,R_0402_1005Metric,98.8,-79.9,90.0,bottom
R65,1.6k,R_0402_1005Metric,96.8,-79.91,90.0,bottom
R7,1.07k,R_0402_1005Metric,85.1,-62.4,0.0,bottom
R8,1.69k,R_0402_1005Metric,82.6,-64.4,180.0,bottom
R9,215k,R_0402_1005Metric,63.45,-20.5,0.0,top
T1,749013011,749013011,103.115,-22.515,90.0,top
U1,Teensy4.1,Teensy41,99.36,-40.48,180.0,top
U2,AD5689RARUZ-RL7,RU_16_ADI,94.4,-38.7,0.0,bottom
U3,MCP2562FD-E/SN,SOIC-8_3.9x4.9mm_P1.27mm,117.095,-57.6866,270.0,bottom
U4,TPS2115APWR,SOP65P640X120-8N,57.825,-41.23,90.0,top
U5,XIAO-ESP32-S3,XIAO-ESP32S3-SMD,65.449,-61.6175,90.0,top
